Agent;Agent_Type;Chosen_Action;Performance_Score;Epoch
4296540161;greedy;Flee;-3.0;5
4296802305;attacker;Attack;-4.5;5
4298375169;greedy;Flee;11.5;5
4303355905;greedy;Flee;-4.5;5
4295229441;greedy;Flee;11.5;5
4297064449;rational;Flee;11.5;5
4301783041;greedy;Flee;11.5;5
4303880193;runner;Flee;11.5;5
4297588737;greedy;Flee;-3.5;5
4302045185;attacker;Attack;-4.5;5
4302307329;rational;Flee;-3.5;5
4302569473;attacker;Attack;-4.5;5
4295491585;rational;Flee;11.5;5
4300472321;rational;Flee;11.5;5
4299685889;runner;Flee;-4.0;5
4297850881;greedy;Flee;-3.0;5
4298637313;runner;Flee;11.5;5
4302831617;rational;Flee;11.5;5
4300210177;rational;Flee;-4.5;5
4296278017;attacker;Attack;11.5;5
4301258753;rational;Flee;-2.5;5
4299948033;runner;Flee;-4.5;5
4299948033;rational;Attack;-4.5;6
4296540161;rational;Attack;-4.5;6
4297850881;runner;Flee;-4.5;6
4298637313;greedy;Attack;11.0;6
4294967297;greedy;Attack;-4.5;6
4301783041;greedy;Attack;15.0;6
4295753729;greedy;Attack;15.0;6
4302045185;rational;Attack;15.0;6
4302569473;rational;Attack;15.0;6
4303880193;runner;Flee;11.0;6
4297064449;greedy;Attack;11.0;6
4302831617;rational;Attack;11.0;6
4303355905;rational;Attack;15.0;6
4296278017;greedy;Attack;11.0;6
4299685889;rational;Attack;-5.0;6
4298375169;runner;Flee;11.0;6
4297588737;greedy;Attack;-4.0;6
